[22/10/2023 - 02:37:26] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[22/10/2023 - 02:47:23] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 02:56:28] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 03:07:23] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 03:17:26] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36
[22/10/2023 - 03:29:45] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 03:39:22] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 03:46:42] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[22/10/2023 - 04:02:33] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[22/10/2023 - 04:08:47] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
